hs1	226223618	226227054	4.9263315
hs1	43358955	43363203	2.4806046
hs1	207880972	207911402	2.297082
hs1	211658657	211675630	2.2613013
hs1	212035553	212107400	2.1927025
hs1	241847967	241895148	2.126684
hs1	46247688	46278473	2.1015563
hs1	68474152	68497221	2.0344884
hs1	44739818	44767767	1.8720086
hs1	52372829	52404459	1.7627016
hs1	200551497	200620734	1.7389755
hs1	35720218	35769967	1.6277281
hs1	47250139	47314147	1.5811213
hs1	214603195	214664588	1.5635988
hs1	25884181	25906991	1.4511726
hs1	37692418	37709719	1.4125315
hs1	202331657	202341980	1.4034913
hs1	1331314	1335306	1.2789074
hs1	43978943	43991170	1.2413659
hs1	54849633	54887218	1.1674067
hs1	154974653	154979249	0.9142998
hs1	39026318	39034636	0.68764323
hs1	228100726	228105411	0.50910324
hs1	151399534	151401944	0.36969703
hs1	40300487	40317816	-1.458994
hs1	33306766	33321098	-2.3443797
hs1	201896452	201946588	-3.5620787
hs1	203167811	203175813	-3.7750695
hs10	93496632	93529092	2.3611474
hs10	13161554	13211104	2.1984513
hs10	128096659	128126385	2.1299002
hs10	44970981	44978810	2.1209297
hs10	56357228	56361275	1.8851992
hs10	60778331	60794852	1.8085862
hs10	92593286	92655395	1.5036355
hs10	73183362	73252693	0.37607488
hs10	88761406	88778242	-1.9039822
hs10	71711701	71737824	-2.0650382
hs11	59107185	59127410	2.3288107
hs11	65066300	65084164	2.158146
hs11	119093854	119095467	1.1662039
hs11	72106378	72112780	0.74179876
hs11	61768501	61792802	0.6760348
hs11	532242	537287	0.67053986
hs11	68891276	68903835	0.5383217
hs11	64316460	64318084	0.52976906
hs11	62646848	62672255	0.4887044
hs11	278365	285359	-1.9114741
hs11	10556966	10693988	-2.1889322
hs12	55681546	55684611	2.770286
hs12	2857681	2877040	2.18755
hs12	6844793	6852066	2.0239422
hs12	49323236	49331731	2.0187097
hs12	53268299	53293643	1.8054403
hs12	122920951	122981649	1.239912
hs12	49127782	49131397	0.86946774
hs12	47963569	47968878	0.7709277
hs12	56222015	56229854	0.6721858
hs12	6491886	6493841	0.62798613
hs12	95858928	95903828	0.62490934
hs12	130871879	130877678	0.6106401
hs12	94897055	95003770	0.59868187
hs12	102073103	102120124	0.5842779
hs12	122714756	122716892	-2.2529168
hs12	80936414	81261205	-2.9458287
hs13	21153595	21176602	2.0958362
hs14	55148112	55191678	2.4044461
hs14	54396849	54420218	1.9912109
hs14	49643555	49688422	1.1212276
hs14	24138959	24141588	0.71251506
hs14	49618519	49620685	0.4153335
hs14	68787660	68796253	-0.86290807
hs14	52267713	52276724	-1.2913759
hs15	51056598	51105276	3.9372416
hs15	59105078	59125045	2.2053134
hs15	40694774	40732339	2.1740062
hs15	89575482	89631056	2.027932
hs15	41309268	41332621	1.6261927
hs15	40594020	40664342	1.4646474
hs15	41332694	41381050	1.3213446
hs15	40161023	40277487	1.3035139
hs15	90966038	90995629	1.2573453
hs15	89243949	89317261	0.93299544
hs15	66336206	66386746	0.8112011
hs15	43826963	43868419	0.78989637
hs15	64155812	64163205	0.76906127
hs15	70047790	70098176	-1.1520374
hs16	85676198	85690073	2.5397418
hs16	88803213	88809258	2.3963845
hs16	2460080	2464963	2.1628134
hs16	2968024	2980539	1.9932401
