hs1	33306766	33321098	A3GALT2
hs1	154582062	154627999	ADAR
hs1	246839098	246931978	AHCTF1
hs1	197084128	197146694	ASPM
hs1	25831913	25859458	AUNIP
hs1	43978943	43991170	B4GALT2
hs1	174999163	175011715	CACYBP
hs1	207880972	207911402	CD34
hs1	207752057	207795513	CD46
hs1	43358955	43363203	CDC20
hs1	226989865	227318474	CDC42BPA
hs1	37692418	37709719	CDCA8
hs1	50960745	50974633	CDKN2C
hs1	214603195	214664588	CENPF
hs1	154974653	154979249	CKS1B
hs1	35720218	35769967	CLSPN
hs1	40300487	40317816	COL9A2
hs1	109910242	109930992	CSF1
hs1	113905141	113914086	DCLRE1B
hs1	68474152	68497221	DEPDC1
hs1	54849633	54887218	DHCR24
hs1	93866283	93879918	DNTTIP2
hs1	212035553	212107400	DTL
hs1	231363751	231425044	EGLN1
hs1	236215555	236281985	ERO1LB
hs1	241847967	241895148	EXO1
hs1	231332753	231337852	EXOC8
hs1	161541759	161550737	FCGR3A
hs1	161623196	161631963	FCGR3B
hs1	93448131	93554661	FNBP1L
hs1	89106132	89176040	GBP2
hs1	89364058	89386461	GBP6
hs1	149782689	149812373	HIST2H2BF
hs1	45326905	45328533	HPDL
hs1	78619922	78646145	IFI44L
hs1	27666061	27672218	IFI6
hs1	109113679	109206781	KIAA1324
hs1	200551497	200620734	KIF14
hs1	44739818	44767767	KIF2C
hs1	183023460	183145592	LAMC1
hs1	225401502	225428925	LBR
hs1	201896452	201946588	LMOD1
hs1	150574551	150579738	MCL1
hs1	226223618	226227054	MIXL1
hs1	54184041	54225464	MRPL37
hs1	36455718	36464437	MRPS15
hs1	150293720	150308979	MRPS21
hs1	203167811	203175813	MYBPH
hs1	39026318	39034636	NDUFS5
hs1	211658657	211675630	NEK2
hs1	205302059	205321755	NUAK2
hs1	163266576	163355764	NUF2
hs1	52372829	52404459	ORC1
hs1	88684222	88836255	PKN2
hs1	145964702	145978848	POLR3GL
hs1	202348699	202592706	PPP1R12B
hs1	2050470	2185395	PRKCZ
hs1	186671791	186680427	PTGS2
hs1	153981617	153986358	RAB13
hs1	46247688	46278473	RAD54L
hs1	206507530	206589283	RASSF5
hs1	173931214	174022297	RC3H1
hs1	23691779	23696425	RPL11
hs1	113761832	113812476	RSBN1
hs1	246724047	246768137	SCCPDH
hs1	9035107	9088478	SLC2A5
hs1	48222685	48248644	SLC5A9
hs1	47250139	47314147	STIL
hs1	25884181	25906991	STMN1
hs1	1331314	1335306	TAS1R3
hs1	151847263	151853697	THEM5
hs1	7915894	7943165	TNFRSF9
hs1	114392777	114511160	TRIM33
hs1	145992435	145996600	TXNIP
hs1	202331657	202341980	UBE2T
hs1	161152776	161158856	UFC1
hs1	46303631	46316776	UQCRH
hs1	68098473	68233120	WLS
hs1	207043849	207052980	YOD1
hs1	173868082	173903549	ZBTB37
hs1	26826710	26857602	ZDHHC18
hs10	7788129	7807815	ATP5C1
hs10	110898730	110919274	BBIP1
hs10	44970981	44978810	C10orf10
hs10	71711701	71737824	C10orf105
hs10	114120862	114174220	CCDC186
hs10	60778331	60794852	CDK1
hs10	11005296	11336675	CELF2
hs10	93496632	93529092	CEP55
hs10	104353764	104455090	CFAP58
hs10	96304396	96338564	DNTT
hs10	125896539	126009592	FANK1
hs10	69269984	69401882	HK1
hs10	89392546	89406486	IFIT1
hs10	89301955	89309276	IFIT2
hs10	89327894	89340971	IFIT3
hs10	58191517	58267934	IPMK
hs10	63167221	63465881	JMJD1C
hs10	92593286	92655395	KIF11
hs10	88761406	88778242	LIPN
hs10	13161554	13211104	MCM10
hs10	101784443	101818465	MGEA5
hs10	128096659	128126385	MKI67
hs10	87863113	87971930	PTEN
hs10	14878820	14904315	SUV39H2
hs10	38010650	38065088	ZNF33A
hs10	75397830	75401906	ZNF503
hs10	56357228	56361275	ZWINT
hs11	94706431	94876753	AMOTL1
hs11	72106378	72112780	ANAPC15
hs11	118401154	118431496	ATP5L
hs11	64987943	64997045	BATF2
hs11	36594493	36659290	C11orf74
hs11	65066300	65084164	CDCA5
hs11	19224063	19241620	E2F8
hs11	59107185	59127410	FAM111B
hs11	119093854	119095467	H2AFX
hs11	532242	537287	HRAS
hs11	63552770	63563383	HRASLS2
hs11	307631	315272	IFITM2
hs11	319669	327537	IFITM3
hs11	10556966	10693988	LYVE1
hs11	118226690	118252350	MPZL3
hs11	73787316	73865133	MRPL48
hs11	278365	285359	NLRP6
hs11	57597387	57614853	SERPING1
hs11	121452203	121633693	SORL1
hs11	66685248	66729226	SPTBN2
hs11	65354767	65357613	TIGD3
hs11	61768501	61792802	TMEM258
hs11	4384897	4393696	TRIM21
hs11	5689689	5737491	TRIM22
hs11	73974667	73983307	UCP2
hs12	122920951	122981649	ABCB9
hs12	80936414	81261205	ACSS3
hs12	48766194	48789037	ADCY6
hs12	31671137	31729174	AMN1
hs12	57797376	57818704	AVIL
hs12	53299686	53307177	C12orf10
hs12	105235290	105396097	C12orf75
hs12	48813794	48828941	CACNB3
hs12	6844793	6852066	CDCA3
hs12	96489571	96875555	CFAP54
hs12	119685790	119877291	CIT
hs12	50504985	50748667	DIP2B
hs12	53268299	53293643	ESPL1
hs12	2857681	2877040	FOXM1
hs12	6533927	6538374	GAPDH
hs12	14774383	14778002	H2AFJ
hs12	95972662	95996365	HAL
hs12	122701293	122703343	HCAR2
hs12	122714756	122716892	HCAR3
hs12	31959370	31993107	KIAA1551
hs12	12326056	12350541	MANSC1
hs12	55681546	55684611	METTL7B
hs12	6491886	6493841	MRPL51
hs12	56222015	56229854	NABP2
hs12	94897055	95003770	NDUFA12
hs12	102073103	102120124	NUP37
hs12	112938352	112973249	OAS3
